Instrument,Section,Priority
flugel horn,Brass,1
french horn,Brass,1
horn,Brass,1
trombone,Brass,1
trumpet,Brass,1
tuba,Brass,1
conductor,Conductor,0
organ,Keys,3
piano,Keys,3
percussion,Percussion,1
bass,Strings,1
cello,Strings,1
double bass,Strings,1
viola,Strings,1
violin 1,Strings,1
violin 2,Strings,1
bass guitar,Strings,2
harp,Strings,2
bassoon 1,Wind,1
bassoon 2,Wind,1
clarinet 1,Wind,1
clarinet 2,Wind,1
flute 1,Wind,1
flute 2,Wind,1
oboe 1,Wind,1
oboe 2,Wind,1
alto sax,Wind,2
alto saxophone,Wind,2
bagpipes,Wind,2
bass clarinet,Wind,2
piccolo,Wind,2
saxophone,Wind,2
